Name,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Irvington,41.34359649013398,-96.08132351334629,5.0,Garden,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Football Stadium,Food Truck,Food Court,Flower Shop,Fish Market,Financial or Legal Service
Keystone,41.29657000000003,-96.03665999999998,4.0,American Restaurant,Park,Zoo Exhibit,Farmers Market,French Restaurant,Football Stadium,Food Truck,Food Court,Flower Shop,Fish Market
Kountze Place,41.260680000000036,-95.94025999999997,0.0,Sandwich Place,ATM,Hotel,American Restaurant,Gym / Fitness Center,Art Museum,Indie Theater,Café,Chinese Restaurant,Coffee Shop
La Vista,41.18681003860516,-95.97277488837614,1.0,Gaming Cafe,Bar,Health & Beauty Service,Smoke Shop,Eye Doctor,Football Stadium,Food Truck,Food Court,Flower Shop,Fish Market
Leavenworth,41.25284000000005,-95.96140999999994,1.0,Bar,Intersection,Locksmith,Gaming Cafe,Music Venue,Flower Shop,Fish Market,Park,Dry Cleaner,Playground
Little Bohemia,41.260680000000036,-95.94025999999997,0.0,Sandwich Place,ATM,Hotel,American Restaurant,Gym / Fitness Center,Art Museum,Indie Theater,Café,Chinese Restaurant,Coffee Shop
Little Italy,41.260680000000036,-95.94025999999997,0.0,Sandwich Place,ATM,Hotel,American Restaurant,Gym / Fitness Center,Art Museum,Indie Theater,Café,Chinese Restaurant,Coffee Shop
Maple Village,41.28471003905159,-95.94938496170273,0.0,Art Gallery,Plaza,Performing Arts Venue,Zoo Exhibit,Eye Doctor,French Restaurant,Football Stadium,Food Truck,Food Court,Flower Shop
Meridian Park,41.17216828201133,-96.17635918256781,1.0,Intersection,Soccer Field,Deli / Bodega,French Restaurant,Football Stadium,Food Truck,Food Court,Flower Shop,Fish Market,Financial or Legal Service
Midtown Crossing,41.259600000000034,-95.96101999999996,1.0,Bar,Park,Pharmacy,Sushi Restaurant,Beer Store,Bubble Tea Shop,Shopping Plaza,Burger Joint,Salon / Barbershop,Coffee Shop
Millard,41.20814000000007,-96.12122999999997,1.0,Baseball Field,Bar,Dive Bar,Intersection,Ice Cream Shop,Mediterranean Restaurant,Gastropub,Fried Chicken Joint,Music Store,Fast Food Restaurant
Miller Park,41.31466000000006,-95.95651999999995,4.0,Convenience Store,Mobile Phone Shop,Golf Course,Park,Pawn Shop,Zoo Exhibit,Farmers Market,Food Truck,Food Court,Flower Shop
Minne Lusa,41.318463741630026,-95.95144910455012,0.0,Pawn Shop,Cupcake Shop,Discount Store,Home Service,Mobile Phone Shop,Park,Golf Course,Zoo Exhibit,Food Truck,Food Court
Morton Meadows,41.24744000000004,-95.98317999999995,0.0,Pharmacy,Art Gallery,Financial or Legal Service,Cheese Shop,Historic Site,Fast Food Restaurant,Eye Doctor,Football Stadium,Food Truck,Food Court
Mockingbird Heights,41.20949000000007,-96.05326999999994,1.0,Construction & Landscaping,Home Service,Park,Bar,Coffee Shop,Zoo Exhibit,Farmers Market,Football Stadium,Food Truck,Food Court
Oak Heights,41.19319960271103,-96.04085946720193,0.0,Pharmacy,Intersection,Convenience Store,Fried Chicken Joint,Diner,Bookstore,Gas Station,Betting Shop,Fast Food Restaurant,Park
Old Market Historic District,41.25445000000008,-95.93651999999997,0.0,Coffee Shop,Gay Bar,Sandwich Place,Sushi Restaurant,Steakhouse,Gastropub,Hotel,Bar,American Restaurant,Seafood Restaurant
Omaha View,41.28309000000007,-95.96014999999994,4.0,Southern / Soul Food Restaurant,Park,Pharmacy,Zoo Exhibit,Eye Doctor,Food Truck,Food Court,Flower Shop,Fish Market,Financial or Legal Service
Orchard Hill,41.274500000000046,-95.97268999999994,0.0,Bookstore,Garden,Construction & Landscaping,Spa,Electronics Store,Theater,Zoo Exhibit,Fast Food Restaurant,Football Stadium,Food Truck
Original Montclair (Omaha),41.27007000000003,-95.95712999999995,1.0,Intersection,Planetarium,Eye Doctor,French Restaurant,Football Stadium,Food Truck,Food Court,Flower Shop,Fish Market,Financial or Legal Service
Papillion,41.28578073370278,-96.09305943938932,4.0,Park,Event Space,Gym,Jewelry Store,Dog Run,Track,Football Stadium,Food Truck,Food Court,Flower Shop
Park Avenue,41.257850077464354,-95.95586470491055,0.0,Fast Food Restaurant,Hotel,Gym,Gaming Cafe,Clothing Store,Lounge,Sushi Restaurant,Gastropub,Mexican Restaurant,Tennis Court
Park East,41.254440000000045,-95.95334999999994,0.0,Deli / Bodega,Thrift / Vintage Store,Food Truck,Antique Shop,Art Gallery,Plaza,Arts & Crafts Store,Fast Food Restaurant,Dry Cleaner,Pizza Place
Pepperwood,41.267074190086326,-96.1537123398819,0.0,ATM,Bakery,Pharmacy,Dry Cleaner,Coffee Shop,Sandwich Place,Shopping Plaza,Burger Joint,French Restaurant,Breakfast Spot
Prospect Hill,41.276440000000036,-95.96225999999996,0.0,Lawyer,Coffee Shop,Zoo Exhibit,Eye Doctor,French Restaurant,Football Stadium,Food Truck,Food Court,Flower Shop,Fish Market
Ralston,41.19502863985841,-96.03833582371077,4.0,Park,Convenience Store,Insurance Office,Ice Cream Shop,Outdoors & Recreation,Pharmacy,Pizza Place,Video Game Store,Gas Station,Film Studio
Raven Oaks,41.34079000000003,-96.00051999999994,7.0,Home Service,Zoo Exhibit,Eye Doctor,French Restaurant,Football Stadium,Food Truck,Food Court,Flower Shop,Fish Market,Financial or Legal Service
Roanoke,41.30344082252865,-96.09097733175886,4.0,Pool,Park,Zoo Exhibit,Farmers Market,French Restaurant,Football Stadium,Food Truck,Food Court,Flower Shop,Fish Market
Robin Hill,41.19596526668107,-96.04073321726642,4.0,Park,Insurance Office,Ice Cream Shop,Convenience Store,Baseball Field,Farmers Market,Football Stadium,Food Truck,Food Court,Flower Shop
Royalwood Estates,41.23628562068275,-96.11363068262331,0.0,Furniture / Home Store,Sandwich Place,Department Store,Auto Garage,Miscellaneous Shop,Taco Place,Shoe Store,Bagel Shop,Liquor Store,Gym / Fitness Center
Regency,41.26396004586514,-96.0682279202011,0.0,Clothing Store,Shoe Store,Sporting Goods Shop,Accessories Store,Cosmetics Shop,Optical Shop,Gift Shop,Jewelry Store,Lingerie Store,Chinese Restaurant
Roxbury,41.20349988608434,-96.08618984161046,0.0,Supermarket,Fried Chicken Joint,Arcade,Mexican Restaurant,Auto Garage,Fast Food Restaurant,Gymnastics Gym,Farmers Market,French Restaurant,Football Stadium
Saratoga,41.30481000000003,-95.94512999999995,1.0,Nightlife Spot,Bar,Zoo Exhibit,Furniture / Home Store,French Restaurant,Football Stadium,Food Truck,Food Court,Flower Shop,Fish Market
Sheelytown,41.260680000000036,-95.94025999999997,0.0,Sandwich Place,ATM,Hotel,American Restaurant,Gym / Fitness Center,Art Museum,Indie Theater,Café,Chinese Restaurant,Coffee Shop
South Omaha Main Street Historic District,41.20153322074509,-96.03332673461082,4.0,Park,Bowling Alley,Dive Bar,Baseball Field,Mexican Restaurant,Outdoors & Recreation,Fried Chicken Joint,French Restaurant,Football Stadium,Food Truck
Sporting District,41.260680000000036,-95.94025999999997,0.0,Sandwich Place,ATM,Hotel,American Restaurant,Gym / Fitness Center,Art Museum,Indie Theater,Café,Chinese Restaurant,Coffee Shop
Spring Lake,41.21917672508477,-95.93617902416294,0.0,Pool,Construction & Landscaping,Playground,Spa,Golf Course,Zoo Exhibit,Eye Doctor,Food Truck,Food Court,Flower Shop
Squatter's Row,41.260680000000036,-95.94025999999997,0.0,Sandwich Place,ATM,Hotel,American Restaurant,Gym / Fitness Center,Art Museum,Indie Theater,Café,Chinese Restaurant,Coffee Shop
Sunny Slope,41.29888386384586,-96.08009612146715,4.0,Park,Pool,Construction & Landscaping,Zoo Exhibit,Eye Doctor,Football Stadium,Food Truck,Food Court,Flower Shop,Fish Market
Trendwood,41.243909023730644,-96.12162664982789,0.0,Rock Club,Plaza,Playground,Baseball Field,Zoo Exhibit,Eye Doctor,Football Stadium,Food Truck,Food Court,Flower Shop
Valley,41.226181220430384,-96.15165479074922,0.0,Gym,IT Services,Construction & Landscaping,Tennis Court,Hardware Store,Park,Baseball Field,Pet Store,Eye Doctor,Food Court
Vinton Street Commercial Historic District,41.229189483306165,-96.20619421476766,1.0,Hardware Store,Fast Food Restaurant,Furniture / Home Store,French Restaurant,Football Stadium,Food Truck,Food Court,Flower Shop,Fish Market,Financial or Legal Service
Walnut Hill,41.27049000000005,-95.97609999999997,0.0,Intersection,Bakery,Diner,Gas Station,Construction & Landscaping,Soccer Field,Coffee Shop,Gym,Food Truck,Food Court
Waterloo,41.28795000000008,-96.28908999999999,1.0,Gym / Fitness Center,Flower Shop,Tex-Mex Restaurant,Baseball Field,Bar,Furniture / Home Store,French Restaurant,Football Stadium,Food Truck,Food Court
Westgate,41.226310050686024,-96.03268487659874,0.0,Baseball Field,Event Service,Pet Store,Grocery Store,Zoo Exhibit,Fast Food Restaurant,French Restaurant,Football Stadium,Food Truck,Food Court
Westside,41.260680000000036,-95.94025999999997,0.0,Sandwich Place,ATM,Hotel,American Restaurant,Gym / Fitness Center,Art Museum,Indie Theater,Café,Chinese Restaurant,Coffee Shop
